Date,Open,High,Low,Close,Adj Close,Volume
1999-01-22,0.4375,0.488281,0.388021,0.410156,0.37682,271468800
1999-01-25,0.442708,0.458333,0.410156,0.453125,0.416296,51048000
1999-01-26,0.458333,0.467448,0.411458,0.417969,0.383998,34320000
1999-01-27,0.419271,0.429688,0.395833,0.416667,0.382802,24436800
1999-01-28,0.416667,0.419271,0.41276,0.415365,0.381605,22752000
1999-01-29,0.415365,0.416667,0.395833,0.395833,0.363661,24403200
1999-02-01,0.395833,0.40625,0.395833,0.403646,0.370839,15470400
1999-02-02,0.395833,0.40625,0.360677,0.372396,0.342129,26409600
1999-02-03,0.367188,0.385417,0.364583,0.380208,0.349306,7512000
1999-02-04,0.385417,0.411458,0.380208,0.401042,0.368446,18192000
1999-02-05,0.407552,0.416667,0.397135,0.41276,0.379212,13684800
1999-02-08,0.415365,0.416667,0.398438,0.398438,0.366054,15408000
1999-02-09,0.40625,0.408854,0.377604,0.382813,0.351699,8697600
1999-02-10,0.382813,0.393229,0.372396,0.378906,0.34811,14822400
1999-02-11,0.380208,0.427083,0.380208,0.411458,0.378016,13224000
1999-02-12,0.416667,0.4375,0.416667,0.434896,0.399549,10972800
1999-02-16,0.442708,0.460938,0.393229,0.4375,0.401941,21100800
1999-02-17,0.427083,0.432292,0.40625,0.414063,0.380409,6772800
1999-02-18,0.427083,0.432292,0.408854,0.420573,0.38639,7070400
